authorId,authorName
A516,Ashish Jagmohan
A517,Ashish Pandharipande
A518,Ashish Tiwari
A519,Ashraf Aboulnaga
A520,Ashutosh Sabharwal
A521,Ashvin Goel
A522,Ashwani Kumar Singh
A523,Ashwin Kumar T K
A524,Ashwin Machanavajjhala
A525,Asis Nasipuri
A526,Assaf Schuster
A527,Astrid Rheinländer
A528,Aswarth Abhilash Dara
A529,At Andrew Nelson
A530,Ataul Bari
A531,Athanasios D. Panagopoulos
A532,Athanasios V. Vasilakos
A533,Athanasios Voulodimos
A534,Athina Bourdena
A535,Athina Markopoulou
A536,Atif Hashmi
A537,Atilla Soner Balkir
A538,Atish Das Sarma
A539,Atsunori Ogawa
A540,Atsuo Inomata
A541,Atsushi Nakamura
A542,Atsushi Tagami
A543,Atsushi Takahara
A544,Attahiru Sule Alfa
A545,Attila Vidács
A546,Atul Singh
A547,Atílio Gameiro
A548,Augusto Sarti
A549,Augustus J. E. M. Janssen
A550,Aurojit Panda
A551,Aurora Vizcaíno
A552,Austen McDonald
A553,Austin Reiter
A554,Avi Silberschatz
A555,Avi Steiner
A556,Avi Wigderson
A557,Avigdor Gal
A558,Avinoam Kolodny
A559,Avishai Mandelbaum
A560,Avrim Blum
A561,Awais Rashid
A562,Axel Keller
A563,Aydın Han
A564,Aylin Yener
A565,Ayman El-Sayed
A566,Ayse Erkan
A567,Ayse Kivilcim Coskun
A568,Azad Ali
A569,Azad Ghaffari
A570,Azam Seyedi
A571,Azhar Mahmood
A572,Azza Abou-Zeid
A573,Azzedine Boukerche
A574,B. A. Emken
A575,B. Sankur
A576,B. Sundar Rajan
A577,B. T. Mahara
A578,B. Yegnanarayana
A579,B. de Alwis
A580,B. van Dongen
A581,B.J.A. Kröse
A582,Babak Falsafi
A583,Babak Hassibi
A584,Babak Hossein Khalaj
A585,Badri N. Vellambi
A586,Badri Nath
A587,Bahador Bahrami
A588,Baile Shi
A589,Balasubramaneyam Maniymaran
A590,Balasubramaniam Natarajan
A591,Balazs Matuz
A592,Bane Vasic
A593,Bao-Liang Lu
A594,Baobao Zhang
A595,Baocai Yin
A596,Baochun Bai
A597,Baochun Li
A598,Baopu Li
A599,Bappaditya Mandal
A600,Barbara Hammer
A601,Barbara König
A602,Barbara Plank
A603,Baris Nakiboglu
A604,Barry J. Richmond
A605,Barry Ruback
A606,Barry W. Boehm
A607,Bart Braem
A608,Bart De Vleeschauwer
A609,Bart Dhoedt
A610,Bart Duysburgh
A611,Bartolomeu F. Uchoa-Filho
A612,Bartosz Biskupski
A613,Basem Suleiman
A614,Basilis Mamalis
A615,Bassam Bamieh
A616,Bassem Zayen
A617,Bay-Wei Chang
A618,Beatrice Alex
A619,Beatriz Beltrán
A620,Behnaam Aazhang
A621,Behrooz Shirazi
A622,Behrouz Maham
A623,Bei Wang
A624,Beiyu Rong
A625,Ben Daubney
A626,Ben Gotow
A627,Ben Hachey
A628,Ben King
A629,Ben Lickly
A630,Ben Medlock
A631,Ben Temkow
A632,Beng Chin Ooi
A633,Beng Soon Tan
A634,Beng-Hong Lim
A635,Benjamin Biegel
A636,Benjamin Francesconi
A637,Benjamin Hummel
A638,Benjamin Höferlin
A639,Benjamin J. Welch
A640,Benjamin Jackson
A641,Benjamin K. Tsou
A642,Benjamin Nyffenegger
A643,Benjamin Snyder
A644,Benjamín Barán
A645,Bennett Wilburn
A646,Benno J. Overeinder
A647,Benny Akesson
A648,Benny Lo
A649,Benny Wang-Leung Cheung
A650,Benoît Garbinato
A651,Benoît Hudson
A652,Benoît Macq
A653,Benxiong Huang
A654,Beomkyu Shin
A655,Bernard C. Levy
A656,Bernard Chalmond
A657,Bernard Henri Fleury
A658,Bernardo Cuenca Grau
A659,Bernardo Vergne Dias
A660,Bernd E. Wolfinger
A661,Bernd Fischer
A662,Bernd Freisleben
A663,Bernd Girod
A664,Bernd Klasen
A665,Bernd Michaelis
A666,Bernhard Haeupler
A667,Bernhard Katzmarski
A668,Bernhard Seeger
A669,Bernt Schiele
A670,Bert Cranen
A671,Bert Gerards
A672,Bert Zwart
A673,Bertrand Vandeportaele
A674,Besim Kabashi
